Player_Name,Age,Nationality,Position,Current_Club,League,Season,Appearances,Goals,Market_Value_Million_EUR,Transfer_Fee_Million_EUR,Shots_Per_Game,Dribbles_Per_Game,Key_Passes_Per_Game,Tackles_Per_Game,Interceptions_Per_Game,Clearances_Per_Game,Pass_Accuracy_Percentage,Saves_Per_Game,Clean_Sheets,Save_Percentage
Mark Peck,20.0,Netherlands,MF,Real Madrid,Ligue 1,2014/2015,30.0,29.0,32.2,60.9,0.7,2.3,2.2,2.8,2.2,1.9,82.8,0.2,6.5,0.8
Maria Chavez,24.0,Brazil,FW,Real Madrid,Bundesliga,2011/2012,19.0,26.0,12.1,97.8,3.1,3.3,2.0,0.8,1.0,0.3,79.7,0.0,,1.9
Danielle Hall,24.0,Belgium,MF,,Serie A,,21.0,12.0,34.0,41.5,0.8,2.4,2.6,,1.3,2.4,,0.0,8.2,1.1
Leslie Adams,32.0,Netherlands,GK,Real Madrid,La Liga,2024/2025,12.0,12.0,81.7,140.8,0.1,,0.0,0.0,,1.8,71.2,4.5,15.0,79.5
,32.0,England,,PSG,La Liga,,19.0,,,101.7,2.0,3.9,1.1,0.5,0.9,,78.6,0.0,1.8,1.2
Elizabeth Potter,23.0,Germany,GK,Juventus,La Liga,2020/2021,43.0,22.0,,71.3,0.1,0.2,0.2,0.1,0.1,1.8,67.7,3.6,6.5,75.1
Timothy Martinez,34.0,Italy,MF,PSG,,2024/2025,19.0,,41.7,66.5,2.1,2.4,3.3,3.3,2.0,2.1,86.4,0.0,8.2,3.2
Natalie Williams,22.0,Spain,FW,Barcelona,Bundesliga,2022/2023,18.0,,9.7,131.4,2.9,,,0.9,,0.4,82.9,0.1,1.7,3.0
Eddie Houston,17.0,,MF,Barcelona,La Liga,2024/2025,13.0,,48.7,0.8,2.2,1.3,2.7,2.6,1.7,1.2,88.9,0.0,,3.6
Scott Wilson,27.0,Germany,,Arsenal,Premier League,2017/2018,41.0,28.0,,,0.9,1.3,0.4,3.0,2.2,6.3,76.5,0.1,5.8,5.9
Jason Collier,27.0,England,MF,Chelsea,Serie A,2024/2025,47.0,28.0,79.1,5.0,1.2,2.3,1.8,1.5,1.5,1.1,90.7,0.1,1.7,3.6
Ryan Kim,20.0,Spain,FW,Real Madrid,Bundesliga,2018/2019,28.0,9.0,,45.4,3.4,1.6,1.9,,0.9,,72.7,,4.7,2.2
Christina Hernandez,17.0,Brazil,MF,Liverpool,La Liga,2014/2015,18.0,0.0,21.7,146.1,1.2,2.4,2.8,,1.5,2.6,82.8,0.1,7.3,3.1
Nicholas Warren,19.0,Germany,MF,Arsenal,Ligue 1,2020/2021,26.0,25.0,49.1,71.2,,1.8,2.9,2.8,1.8,2.8,91.9,0.2,6.3,1.0
Ryan Cole,36.0,,GK,,Bundesliga,,36.0,25.0,6.2,106.5,0.0,0.2,0.2,0.0,0.2,1.2,69.5,5.9,11.1,
Mary Hill,36.0,England,,Bayern Munich,Bundesliga,2022/2023,41.0,25.0,91.5,138.1,0.5,0.8,0.9,4.8,3.3,5.2,80.2,0.1,6.7,6.7
Peter Donaldson,26.0,France,DF,,Bundesliga,,36.0,20.0,27.2,,0.6,0.4,0.3,,2.6,5.2,81.7,0.0,7.4,6.8
William Tate,30.0,Spain,DF,Manchester United,Premier League,2014/2015,21.0,2.0,22.7,34.3,,,0.2,2.6,4.4,6.1,85.8,0.1,6.6,4.9
,20.0,Argentina,FW,Liverpool,Premier League,2011/2012,27.0,9.0,97.6,143.6,2.7,3.1,2.9,0.4,,0.6,80.9,0.1,,2.2
Victoria Wright,21.0,Netherlands,,Bayern Munich,Ligue 1,2013/2014,30.0,,80.7,115.1,0.2,0.0,0.2,0.1,0.1,1.6,,5.7,8.1,76.7
,27.0,Brazil,MF,Inter Milan,Premier League,2022/2023,14.0,25.0,32.3,60.7,2.2,2.9,2.8,2.6,1.6,1.1,80.4,0.0,5.4,1.0
Karen King,24.0,Argentina,MF,Liverpool,Ligue 1,2024/2025,17.0,17.0,,,1.3,1.0,2.4,1.7,1.1,2.8,87.8,0.1,3.0,3.3
Charles Nguyen,25.0,Argentina,,Liverpool,Premier League,,8.0,17.0,63.3,69.8,2.4,1.5,1.2,0.3,0.7,1.3,,0.1,2.1,0.8
John Avila,21.0,Italy,,Juventus,Bundesliga,2020/2021,49.0,21.0,12.5,78.0,3.7,,2.7,0.9,1.0,0.4,74.8,0.0,,2.2
Jasmine Davis,32.0,Portugal,FW,Liverpool,,2020/2021,10.0,4.0,13.4,133.7,4.5,3.7,1.5,,0.5,0.1,71.8,0.0,,2.3
Dr. Scott Holland,18.0,Argentina,DF,PSG,,2013/2014,21.0,7.0,33.3,113.1,0.1,0.4,0.8,4.6,3.8,6.9,,,12.4,7.5
Kenneth Green,27.0,Italy,GK,PSG,Serie A,2023/2024,24.0,0.0,41.2,146.3,0.1,0.2,0.3,0.2,0.2,1.9,69.2,3.1,5.9,88.0
Luis Smith,31.0,,MF,Juventus,,2020/2021,46.0,29.0,113.2,52.0,,2.1,,2.2,1.6,1.7,87.8,0.1,2.3,0.2
Melinda Banks,29.0,England,FW,Juventus,Bundesliga,2014/2015,27.0,28.0,110.5,87.8,2.7,3.4,1.2,0.6,0.7,0.1,84.0,0.0,4.9,
Chris Molina,32.0,,MF,Inter Milan,Serie A,2020/2021,2.0,4.0,102.6,37.0,,1.7,2.8,,2.5,2.5,82.4,0.1,9.5,3.9
Jason Maldonado,34.0,Portugal,FW,Bayern Munich,Premier League,,35.0,5.0,6.7,96.4,4.3,3.8,1.9,0.4,0.5,0.1,83.9,0.0,0.9,2.4
,28.0,,FW,Chelsea,Ligue 1,2016/2017,34.0,1.0,87.9,39.8,3.8,1.7,,0.8,0.7,0.5,84.2,,3.5,2.0
,23.0,Argentina,MF,Manchester United,La Liga,2016/2017,41.0,26.0,23.7,55.1,1.8,2.6,2.8,3.1,1.3,1.9,87.4,0.2,2.7,1.0
Amanda Robertson,31.0,Netherlands,,Chelsea,La Liga,2011/2012,27.0,8.0,51.0,86.8,,0.0,0.2,0.2,0.1,1.0,75.1,3.2,13.8,86.2
Denise Tate,19.0,Netherlands,GK,Chelsea,Bundesliga,,43.0,17.0,84.7,121.7,0.1,0.2,0.0,0.0,0.0,,,4.7,13.7,71.5
Phillip Wells,36.0,Spain,FW,Real Madrid,La Liga,2018/2019,32.0,16.0,17.2,128.0,2.4,3.6,1.2,0.4,0.5,0.5,,0.0,,1.5
William Johnson,18.0,Portugal,,Manchester United,Ligue 1,2011/2012,41.0,,51.2,,0.5,0.5,0.9,4.3,4.2,4.6,86.6,0.0,11.0,8.5
Lisa Walter,26.0,Argentina,GK,PSG,Ligue 1,,37.0,5.0,110.3,59.8,0.1,0.1,0.4,0.1,0.2,1.7,66.3,3.9,12.3,75.0
Elizabeth Reed,23.0,Brazil,DF,Manchester United,Serie A,2023/2024,35.0,25.0,,67.3,1.0,,0.8,3.2,2.9,,78.7,0.0,,4.3
Annette Barnett,35.0,Portugal,MF,Bayern Munich,Bundesliga,2011/2012,28.0,7.0,100.4,41.9,1.2,1.7,2.1,1.6,1.3,1.5,81.8,0.2,8.6,
Kelly Long,19.0,,MF,Inter Milan,Ligue 1,2017/2018,25.0,,44.2,17.4,2.1,1.7,3.3,2.3,1.3,2.4,87.7,0.2,9.7,2.8
,,Portugal,MF,Manchester United,Ligue 1,2013/2014,19.0,1.0,4.8,11.0,1.0,1.8,2.8,3.4,1.8,1.1,,0.1,1.2,4.3
Kristen Kennedy,24.0,France,FW,Bayern Munich,Serie A,2021/2022,32.0,8.0,84.5,139.1,2.9,2.1,2.5,0.7,0.7,0.3,,0.1,1.4,2.4
Christopher Petersen,,Netherlands,MF,Arsenal,Premier League,2024/2025,19.0,19.0,35.7,,0.7,2.6,1.6,2.4,2.4,1.1,86.8,0.0,9.3,4.3
Dana Wallace,35.0,Germany,FW,Inter Milan,Serie A,2012/2013,4.0,15.0,24.9,4.7,3.1,2.5,2.3,0.6,0.6,,72.0,0.0,3.6,
Calvin Anderson,20.0,Belgium,DF,Liverpool,Premier League,2022/2023,49.0,17.0,,57.7,0.5,1.1,0.7,,4.4,4.5,83.1,0.2,5.2,9.0
Keith Hobbs,35.0,Belgium,DF,Chelsea,Bundesliga,2011/2012,31.0,24.0,39.2,106.6,,1.3,0.6,3.1,2.2,3.1,86.1,0.2,4.4,3.2
Donna Mcdowell,20.0,Germany,FW,Chelsea,La Liga,2020/2021,14.0,10.0,8.5,139.6,4.2,,1.7,0.7,0.3,0.9,71.6,0.0,3.3,2.3
Jessica Collier,28.0,Argentina,DF,Juventus,La Liga,,6.0,25.0,,79.4,0.6,0.3,0.8,2.6,2.1,6.9,81.4,0.2,13.8,4.8
Melinda Foley,,Argentina,MF,Bayern Munich,Serie A,2019/2020,,22.0,34.1,98.8,1.0,2.6,3.5,3.4,2.5,2.0,83.9,0.1,8.1,4.6
James Smith,28.0,England,DF,,Premier League,2020/2021,7.0,12.0,114.1,47.2,0.8,0.7,0.3,,2.6,5.7,75.5,0.1,11.5,0.2
David Barrett,,Germany,MF,Bayern Munich,Bundesliga,2015/2016,32.0,,,136.4,1.6,1.4,2.5,3.0,1.5,1.5,85.5,0.2,0.6,2.2
Janice Mccarthy,34.0,Netherlands,GK,Inter Milan,Premier League,2023/2024,16.0,16.0,99.2,70.1,0.1,0.0,0.2,0.1,0.1,0.6,77.3,5.5,,
April Mckenzie,23.0,Portugal,MF,Juventus,Serie A,2017/2018,26.0,25.0,3.2,125.0,1.6,1.3,3.5,1.8,1.7,2.2,89.5,0.1,,3.2
Cesar Nguyen,27.0,Italy,MF,Liverpool,Serie A,2022/2023,9.0,7.0,17.1,20.3,0.6,2.4,3.2,2.6,1.5,2.3,87.1,0.1,1.3,1.9
Karen Lewis,31.0,Netherlands,DF,Juventus,Premier League,2011/2012,10.0,25.0,115.1,144.4,0.4,1.1,0.5,4.3,3.7,3.5,80.9,0.1,6.4,6.1
Robert Pierce,17.0,Belgium,DF,Bayern Munich,Bundesliga,2020/2021,42.0,29.0,22.5,106.4,,1.2,0.8,2.7,3.3,6.6,81.8,0.3,9.8,5.5
Tina Powell,19.0,Argentina,,Real Madrid,Premier League,2018/2019,33.0,0.0,97.8,36.8,,,0.1,0.0,0.0,0.7,70.7,5.1,11.2,
Douglas Jones,19.0,Germany,MF,,Serie A,2014/2015,20.0,20.0,29.1,108.4,1.6,2.6,2.8,3.5,2.1,2.9,85.2,0.0,5.3,3.2
Jordan Stuart DVM,18.0,Argentina,GK,PSG,La Liga,2022/2023,23.0,20.0,48.9,73.2,0.1,0.0,0.4,0.2,0.2,0.8,75.6,3.7,6.9,72.7
Erika Williams,28.0,England,GK,Arsenal,Bundesliga,2010/2011,0.0,15.0,15.8,42.7,0.0,0.1,0.1,0.3,0.1,0.6,66.2,4.1,10.0,88.5
Kyle Johnson,33.0,Germany,GK,Real Madrid,Ligue 1,2020/2021,15.0,20.0,94.8,,0.1,0.2,0.1,0.2,0.2,1.6,78.2,,8.2,86.0
Terri Blackwell,21.0,Italy,GK,Juventus,Serie A,2014/2015,48.0,9.0,85.2,132.4,0.2,0.2,0.3,0.0,0.0,0.7,66.3,3.3,19.5,76.4
Gabriel Holder,25.0,France,FW,Manchester United,Serie A,2021/2022,46.0,13.0,50.6,99.6,,3.4,1.3,,0.2,0.2,,,2.5,1.2
Elaine Stevens DVM,,Brazil,GK,Liverpool,La Liga,2022/2023,36.0,8.0,88.9,114.8,,0.2,0.0,0.2,0.2,1.7,65.1,3.2,17.7,79.0
Garrett Taylor,19.0,Argentina,MF,,Premier League,2016/2017,45.0,24.0,114.1,27.8,2.1,2.7,,1.6,,1.4,85.0,,3.7,0.2
Miranda Blair,33.0,Netherlands,FW,Barcelona,Ligue 1,,35.0,0.0,62.0,124.6,3.4,3.6,2.2,0.6,0.9,,73.2,,4.1,1.1
Charles Rodriguez,23.0,Germany,DF,,Premier League,2010/2011,18.0,28.0,12.3,3.7,0.9,0.6,0.3,3.0,3.9,5.2,,0.1,14.5,7.8
,27.0,Germany,,Juventus,Premier League,2012/2013,13.0,12.0,52.4,134.7,0.9,,0.9,2.8,4.0,3.3,,0.0,10.0,8.6
Jamie Perez,36.0,Spain,MF,Arsenal,Serie A,2021/2022,23.0,12.0,42.2,117.3,1.6,1.2,3.1,3.3,1.3,1.5,88.6,0.0,4.8,2.5
Timothy Howard,33.0,Brazil,GK,Liverpool,,2016/2017,31.0,28.0,,35.1,0.2,0.1,0.5,0.0,0.2,1.7,61.9,5.6,8.5,73.5
Kevin Barker,35.0,Portugal,DF,PSG,Serie A,,20.0,28.0,101.8,66.3,0.9,1.3,0.8,4.1,2.8,5.5,85.3,0.0,10.4,7.0
Jeanette Johnson,34.0,Belgium,MF,Juventus,Serie A,2013/2014,14.0,,2.7,24.9,0.8,,2.8,2.5,2.5,1.6,88.0,0.0,3.9,4.3
Ashley Meyers,26.0,Portugal,FW,Arsenal,Serie A,2010/2011,20.0,9.0,,58.1,4.5,3.5,1.9,1.0,0.8,0.1,84.0,0.0,1.9,2.6
Matthew Clarke,32.0,Netherlands,FW,Chelsea,Ligue 1,2020/2021,26.0,16.0,13.7,141.2,2.5,4.0,2.4,0.5,1.0,0.3,77.0,,0.9,
Maria Thompson,22.0,Netherlands,GK,Chelsea,Serie A,2018/2019,29.0,18.0,1.1,145.8,0.0,0.3,0.4,0.1,0.2,,74.5,,9.2,79.4
Katherine King,31.0,,MF,Bayern Munich,,2019/2020,22.0,1.0,53.6,71.2,2.3,2.1,2.7,2.5,2.2,2.2,84.6,0.1,6.8,4.8
Holly Moon,25.0,England,GK,Juventus,Premier League,,12.0,2.0,85.6,68.5,0.1,,0.2,0.1,,1.6,63.0,5.0,10.2,73.4
,31.0,,,Chelsea,Ligue 1,2012/2013,14.0,11.0,94.2,57.9,4.5,1.7,1.8,0.4,0.7,1.2,73.6,0.0,2.5,0.4
Kiara Dunn,28.0,England,GK,Manchester United,Premier League,,41.0,14.0,42.8,14.7,0.1,0.3,0.0,0.3,0.1,1.9,62.7,2.8,6.7,78.0
,33.0,Portugal,DF,Chelsea,Bundesliga,,2.0,22.0,67.6,112.9,0.6,1.3,0.5,4.2,2.4,5.1,75.4,0.1,11.5,8.0
Mark Anderson,29.0,Brazil,MF,Inter Milan,Ligue 1,2016/2017,12.0,21.0,91.9,,1.3,,2.1,,1.2,2.8,85.5,0.2,7.2,
David Russell,20.0,Spain,FW,,Premier League,2013/2014,7.0,28.0,112.4,145.5,3.8,1.7,1.8,0.6,0.7,,78.2,0.0,0.8,
Laura Mccall,33.0,Germany,FW,Liverpool,Ligue 1,2010/2011,37.0,,115.0,148.8,4.5,1.8,1.2,0.5,0.8,1.4,71.3,0.1,0.4,
Kyle Glass,21.0,Spain,DF,Chelsea,La Liga,2024/2025,37.0,17.0,119.3,71.9,0.8,0.9,0.7,3.2,3.3,4.8,86.4,0.1,10.4,5.5
Eric Hicks,24.0,Germany,MF,,Ligue 1,2012/2013,16.0,18.0,66.4,,1.3,2.0,,2.3,2.1,1.9,90.3,0.1,,0.5
Deborah Johnson,,England,FW,Arsenal,Bundesliga,2011/2012,28.0,4.0,37.2,39.3,,2.9,,1.0,1.0,1.4,76.4,0.1,,0.8
Karen Fields DDS,,,GK,Arsenal,,,17.0,27.0,115.6,122.2,0.1,0.1,0.0,0.2,0.1,0.9,78.6,5.8,19.5,74.3
Jeffrey Thomas,29.0,England,GK,Juventus,Bundesliga,2022/2023,29.0,6.0,48.3,53.2,0.2,0.1,0.2,0.1,0.1,,61.0,5.5,,80.8
Emma Davis,21.0,Brazil,DF,PSG,La Liga,2018/2019,45.0,29.0,97.5,29.0,0.5,,0.4,4.0,4.2,,76.8,0.0,5.6,2.2
Lisa Nelson,36.0,France,GK,Inter Milan,Premier League,,49.0,28.0,104.9,94.2,0.2,0.3,0.4,0.1,0.1,1.5,,5.7,,71.9
Susan Hendrix,20.0,France,MF,Chelsea,,2023/2024,38.0,9.0,119.3,126.0,2.1,1.7,1.5,2.5,1.1,,90.3,0.0,,0.1
Andres Hicks,24.0,Portugal,GK,Inter Milan,Ligue 1,2020/2021,42.0,10.0,97.1,96.1,0.1,0.2,0.2,0.3,0.1,,73.9,4.9,15.1,70.0
Joanna Smith,20.0,Belgium,FW,PSG,La Liga,2024/2025,29.0,4.0,52.8,11.4,4.0,2.8,,0.3,,0.4,82.6,0.1,3.6,0.0
Kimberly Fowler,21.0,Italy,GK,Chelsea,Premier League,2020/2021,41.0,6.0,85.4,,0.1,0.1,0.1,0.2,0.0,1.7,77.1,3.7,14.0,73.6
Jonathan Ortiz,22.0,Spain,GK,Real Madrid,La Liga,2014/2015,46.0,17.0,55.0,55.0,0.2,0.2,0.0,0.2,0.2,1.9,68.5,3.7,12.9,70.2
Mary Sanford,28.0,England,MF,,Serie A,2023/2024,32.0,1.0,100.0,89.5,2.0,2.7,,2.9,1.9,1.7,82.2,0.2,5.5,0.9
,20.0,Argentina,DF,Real Madrid,Premier League,2022/2023,37.0,15.0,88.2,20.5,0.7,0.7,,4.3,3.8,6.4,,0.2,4.7,7.0
Samantha Bright,23.0,England,MF,Bayern Munich,La Liga,2012/2013,10.0,10.0,87.7,130.6,2.0,1.8,2.5,2.5,2.1,1.4,91.2,0.0,5.2,4.6
Rebecca Smith,34.0,France,DF,Bayern Munich,Serie A,2018/2019,19.0,6.0,52.3,,0.2,1.3,,4.5,2.6,4.0,75.8,0.1,11.4,7.5
,23.0,,,Real Madrid,Ligue 1,2023/2024,41.0,18.0,83.3,52.9,4.5,2.9,1.7,1.1,,0.5,79.3,0.1,2.9,1.1
,22.0,Germany,FW,Chelsea,Bundesliga,2023/2024,15.0,7.0,45.2,113.5,4.0,2.4,1.4,0.3,0.9,0.8,76.6,0.1,0.4,1.0
Richard Brock,,Italy,FW,Manchester United,Ligue 1,,25.0,5.0,87.5,35.9,,3.7,2.4,0.9,0.3,0.2,79.0,0.1,3.9,2.1
Ms. Cassandra Rivera DDS,32.0,Argentina,DF,Manchester United,La Liga,2019/2020,44.0,18.0,46.9,42.1,0.3,1.3,0.7,4.4,,6.0,85.8,,5.8,5.8
Anna Hardy,20.0,Belgium,MF,Barcelona,La Liga,2017/2018,31.0,29.0,106.4,4.2,1.7,1.6,2.4,,2.2,2.0,87.6,0.0,1.1,2.1
Ryan Lopez,21.0,Netherlands,FW,Chelsea,Ligue 1,2016/2017,47.0,2.0,59.5,,4.7,1.5,1.9,1.1,0.8,,70.2,0.0,2.6,
,22.0,Brazil,MF,Bayern Munich,La Liga,2013/2014,43.0,29.0,75.9,68.4,1.3,1.6,2.6,1.7,1.3,1.1,87.0,0.1,1.5,2.6
Deborah Floyd,36.0,Netherlands,,,La Liga,2024/2025,48.0,0.0,55.0,100.2,1.4,2.5,3.5,3.0,1.9,2.0,91.5,0.2,5.3,4.8
Anna Brown,36.0,Portugal,DF,Liverpool,Ligue 1,2016/2017,8.0,0.0,34.1,26.7,0.9,1.0,0.8,4.3,2.0,4.3,82.9,0.1,,2.2
Robert Davis,33.0,England,,PSG,La Liga,2018/2019,14.0,11.0,4.3,67.8,4.1,3.5,1.9,0.8,,,72.0,0.1,4.4,2.0
Lindsay Thomas,35.0,Netherlands,FW,,,2015/2016,32.0,17.0,8.2,86.6,3.9,2.9,2.3,0.3,0.8,,,0.0,1.5,0.9
Daniel Moore,35.0,France,GK,Liverpool,Bundesliga,2020/2021,42.0,22.0,34.6,136.7,0.1,0.1,0.1,0.2,0.1,0.9,65.8,2.7,,77.6
Russell Hopkins,29.0,Belgium,,Barcelona,Ligue 1,2015/2016,33.0,11.0,,113.3,0.1,0.1,0.2,0.1,0.1,0.8,,3.4,19.4,86.8
Margaret Kerr,27.0,Portugal,GK,Manchester United,Serie A,2011/2012,6.0,22.0,53.0,44.3,0.0,0.0,0.2,0.2,0.0,0.6,77.2,5.2,10.5,71.1
Robin Brown,25.0,Belgium,DF,,Ligue 1,2020/2021,1.0,0.0,15.6,148.3,1.0,0.5,0.7,3.6,2.6,4.6,86.6,0.3,14.7,9.2
Richard Miller,25.0,Italy,MF,Arsenal,Ligue 1,2013/2014,44.0,2.0,18.9,34.4,1.6,1.3,1.8,2.2,1.7,1.7,90.7,0.2,3.0,4.5
Lisa Lyons,22.0,Netherlands,FW,Chelsea,La Liga,2020/2021,36.0,2.0,,,2.0,3.6,1.3,1.0,0.8,1.3,74.6,0.1,2.1,0.1
Linda Logan,25.0,,FW,Juventus,Premier League,2020/2021,18.0,11.0,14.7,,3.0,2.6,1.1,0.5,0.7,1.2,71.4,0.1,1.5,0.7
Michael Wright,18.0,Italy,GK,Barcelona,,2021/2022,1.0,,60.7,43.7,0.2,0.2,,0.3,0.1,1.4,66.0,4.2,11.1,
Christy King,25.0,Portugal,MF,Liverpool,Premier League,2023/2024,46.0,27.0,63.6,52.8,1.9,2.2,1.9,2.1,1.4,,83.7,0.1,3.6,
Kristen Lloyd,29.0,Portugal,MF,Bayern Munich,La Liga,2010/2011,9.0,7.0,31.3,102.0,2.1,1.6,2.5,2.8,1.9,2.3,81.6,0.1,8.8,0.5
Cynthia Lam,25.0,,GK,Arsenal,Ligue 1,2015/2016,,3.0,20.3,124.1,0.1,0.1,0.3,0.2,0.1,0.8,78.0,4.0,8.5,77.0
Nicole Ramirez,,France,GK,Liverpool,,,12.0,2.0,110.1,84.5,0.1,0.0,0.4,0.1,0.2,0.6,,5.0,18.9,83.6
Heather Armstrong,33.0,Germany,MF,Inter Milan,Bundesliga,2016/2017,18.0,7.0,49.6,48.5,0.7,1.0,3.3,,1.1,2.8,83.9,0.0,9.5,4.9
Lisa Wilson,,,GK,,Premier League,2017/2018,26.0,8.0,,,0.1,0.1,0.2,0.3,0.1,1.3,78.7,5.4,8.1,
Dylan Williams,29.0,Spain,FW,Liverpool,Serie A,2012/2013,32.0,7.0,61.3,20.4,4.9,2.2,1.9,0.7,1.0,1.0,76.0,0.1,3.4,2.2
,19.0,Netherlands,FW,Bayern Munich,Bundesliga,2020/2021,6.0,18.0,7.9,56.8,2.1,2.2,,0.5,0.4,0.2,73.7,0.0,4.0,
Gregory Morrison,19.0,Italy,FW,Juventus,Premier League,2022/2023,16.0,29.0,22.5,84.8,3.9,2.1,1.3,1.1,1.0,0.7,72.8,0.0,3.7,0.8
Brent Wilson,31.0,Spain,GK,,Bundesliga,2015/2016,49.0,7.0,6.3,125.4,0.1,0.0,0.3,0.1,0.1,0.9,61.5,4.6,17.4,89.3
Jesse Wolfe,18.0,Belgium,FW,Chelsea,Ligue 1,2011/2012,8.0,22.0,104.6,0.1,3.9,2.1,,1.1,0.2,0.8,,0.1,0.1,1.6
Amanda Taylor,31.0,Germany,DF,Barcelona,La Liga,,19.0,,18.3,52.2,0.9,0.8,,2.9,4.4,3.3,78.9,0.1,14.7,6.3
Michele White,30.0,,FW,Manchester United,Bundesliga,2018/2019,36.0,,79.9,16.7,2.1,3.5,2.1,,,0.8,71.6,,0.4,
William Peterson,28.0,France,FW,,La Liga,2010/2011,14.0,28.0,86.8,5.5,2.9,2.4,2.8,0.4,0.9,0.3,71.4,,4.7,1.6
Derek Branch,23.0,Portugal,FW,Barcelona,,2021/2022,4.0,26.0,,14.0,2.9,2.9,,1.2,,0.9,72.7,0.1,3.6,2.9
Daniel Johnson,36.0,France,GK,Real Madrid,Bundesliga,2015/2016,38.0,25.0,14.1,80.8,0.1,0.1,0.3,0.0,0.1,1.2,67.7,5.5,12.0,71.5
,18.0,Belgium,GK,PSG,Premier League,2022/2023,33.0,18.0,15.3,70.4,0.0,0.1,0.4,0.3,0.2,1.1,61.4,4.9,19.6,79.6
,20.0,Netherlands,FW,Chelsea,,2024/2025,19.0,23.0,110.6,53.1,4.5,3.4,,0.3,0.8,0.4,83.9,0.0,4.8,2.3
Mark Morris Jr.,32.0,Brazil,DF,Manchester United,La Liga,2013/2014,17.0,11.0,8.3,120.9,0.8,0.7,1.0,,2.4,4.0,75.4,0.2,6.2,3.6
Sara Carr,17.0,Portugal,,,La Liga,2022/2023,47.0,27.0,,,0.4,0.4,0.3,4.7,3.4,,77.5,0.3,8.5,0.9
,31.0,Spain,MF,,Bundesliga,2024/2025,20.0,29.0,89.5,79.0,2.2,2.2,2.9,3.1,1.3,2.1,89.2,0.0,3.9,0.5
Melanie Rivera,20.0,Portugal,DF,Inter Milan,Serie A,2020/2021,17.0,,,122.4,0.3,0.8,0.3,3.0,4.1,3.5,75.7,0.0,13.5,4.2
Jessica Thompson,20.0,France,DF,Juventus,Ligue 1,,34.0,14.0,10.7,137.6,0.2,1.3,0.8,,2.4,4.6,82.6,0.1,,7.9
Kendra Browning,23.0,Germany,FW,Chelsea,Ligue 1,2011/2012,44.0,2.0,3.9,127.0,,3.7,2.4,0.7,0.5,0.9,82.3,0.0,3.8,2.0
David Anderson,25.0,Netherlands,GK,Juventus,Bundesliga,2015/2016,,17.0,,126.3,0.1,0.0,0.2,,,0.8,61.0,,6.1,77.8
Jacqueline Estrada,24.0,Germany,MF,Juventus,Premier League,2019/2020,26.0,0.0,43.1,25.7,,2.6,,2.2,2.3,2.7,83.5,0.2,6.2,1.0
Brian Murphy,31.0,Netherlands,GK,Bayern Munich,Bundesliga,2024/2025,49.0,10.0,109.0,107.6,0.2,,0.0,0.1,,1.3,61.2,4.5,,89.6
Robert Robinson,22.0,Argentina,FW,Liverpool,Premier League,2016/2017,39.0,8.0,78.3,51.9,2.3,,2.4,0.5,0.8,0.5,80.4,0.1,3.1,2.0
,33.0,Germany,,Liverpool,,2013/2014,19.0,13.0,105.2,27.2,0.9,0.6,0.7,3.5,3.2,3.0,86.6,0.2,6.1,9.5
Nicole Mendoza,31.0,Italy,,Juventus,La Liga,2020/2021,,6.0,75.5,107.9,,2.8,2.5,0.9,0.1,0.6,83.3,0.0,1.0,2.8
Amy Smith,36.0,France,DF,Inter Milan,Ligue 1,2023/2024,12.0,28.0,33.7,75.0,,1.5,,,3.4,5.6,83.1,0.2,7.0,4.7
Eric Thomas,18.0,Argentina,DF,Bayern Munich,Serie A,2021/2022,9.0,,114.5,,0.5,1.4,,4.2,2.4,4.5,87.7,0.2,5.6,1.5
Tammy Kirk,26.0,Netherlands,GK,Real Madrid,Bundesliga,2022/2023,,3.0,56.8,40.6,0.1,0.1,0.1,0.2,0.1,1.8,,4.2,11.5,87.3
Jordan Gonzalez,,Brazil,MF,,Serie A,2022/2023,20.0,0.0,24.6,149.6,1.7,1.5,3.4,3.2,2.4,1.6,80.2,0.0,,3.7
Luis Evans,34.0,Argentina,DF,Arsenal,Serie A,2011/2012,47.0,26.0,9.2,38.2,0.5,0.6,0.2,3.9,3.6,5.4,79.5,0.1,13.6,5.6
Allison Edwards,26.0,Belgium,FW,Real Madrid,La Liga,2013/2014,32.0,18.0,34.1,33.2,4.1,3.2,1.8,0.8,0.3,,79.8,0.0,0.3,2.6
Kevin Watson,31.0,Germany,,Liverpool,La Liga,2020/2021,1.0,22.0,71.7,124.6,0.9,1.1,0.4,4.4,2.7,6.2,81.8,0.2,14.5,
Gregory Martinez,34.0,France,MF,Real Madrid,Premier League,2010/2011,45.0,18.0,14.5,102.3,2.2,2.9,2.5,3.0,1.7,2.9,84.8,,5.6,3.6
Charlene Taylor,21.0,,,Juventus,Serie A,2024/2025,8.0,7.0,,51.0,0.6,1.0,0.9,4.3,3.6,6.1,80.4,0.3,3.5,7.6
Sandra Bryant,24.0,Argentina,MF,,,2015/2016,46.0,0.0,42.9,148.1,2.0,2.8,2.2,2.8,1.6,1.7,,0.1,0.0,4.4
Amanda Drake,33.0,Belgium,DF,PSG,La Liga,2022/2023,10.0,15.0,101.9,29.6,0.7,1.4,0.3,2.7,4.2,4.9,,0.0,7.5,8.0
